,@BBCNews,@CBSNews,@CNN,@FoxNews,@NYT
0,-0.3182,0.0,0.0,0.1531,0.0
1,0.0,0.4404,0.0,0.0,0.0
2,0.0,0.296,0.5574,0.0,0.25
3,-0.4767,-0.1027,0.0,-0.7072,-0.5574
4,0.0,-0.0258,0.2263,0.2144,-0.5574
5,-0.34,-0.4588,-0.6597,-0.5574,0.0
6,0.743,0.0,0.5719,0.0,0.0
7,0.0,0.0,0.3818,-0.5106,0.6369
8,-0.4019,-0.3818,0.5106,0.0,0.0
9,0.0,-0.0258,-0.0772,0.0,0.0
10,-0.2075,0.0,-0.4767,0.4019,0.0
11,-0.4877,-0.6908,0.0,-0.4215,0.0
12,0.0,-0.296,-0.6597,-0.34,-0.3818
13,-0.5859,0.2421,0.0,-0.836,0.0
14,0.0,0.0,0.0,0.4215,0.0516
15,-0.4019,-0.9042,-0.2732,0.6486,0.4019
16,0.0,-0.6597,0.2755,-0.5574,-0.6124
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.6908,0.2846,0.3612,0.0
19,-0.8271,-0.4767,0.0,0.2263,-0.4939
20,-0.3182,0.0,0.0,0.1531,0.0
21,0.0,0.4404,0.0,0.0,0.0
22,0.0,0.296,0.5574,0.0,0.25
23,-0.4767,-0.1027,0.0,-0.7072,-0.5574
24,0.0,-0.0258,0.2263,0.2144,-0.5574
25,-0.34,-0.4588,-0.6597,-0.5574,0.0
26,0.743,0.0,0.5719,0.0,0.0
27,0.0,0.0,0.3818,-0.5106,0.6369
28,-0.4019,-0.3818,0.5106,0.0,0.0
29,0.0,-0.0258,-0.0772,0.0,0.0
30,-0.2075,0.0,-0.4767,0.4019,0.0
31,-0.4877,-0.6908,0.0,-0.4215,0.0
32,0.0,-0.296,-0.6597,-0.34,-0.3818
33,-0.5859,0.2421,0.0,-0.836,0.0
34,0.0,0.0,0.0,0.4215,0.0516
35,-0.4019,-0.9042,-0.2732,0.6486,0.4019
36,0.0,-0.6597,0.2755,-0.5574,-0.6124
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.6908,0.2846,0.3612,0.0
39,-0.8271,-0.4767,0.0,0.2263,-0.4939
40,-0.3182,0.0,0.0,0.1531,0.0
41,0.0,0.4404,0.0,0.0,0.0
42,0.0,0.296,0.5574,0.0,0.25
43,-0.4767,-0.1027,0.0,-0.7072,-0.5574
44,0.0,-0.0258,0.2263,0.2144,-0.5574
45,-0.34,-0.4588,-0.6597,-0.5574,0.0
46,0.743,0.0,0.5719,0.0,0.0
47,0.0,0.0,0.3818,-0.5106,0.6369
48,-0.4019,-0.3818,0.5106,0.0,0.0
49,0.0,-0.0258,-0.0772,0.0,0.0
50,-0.2075,0.0,-0.4767,0.4019,0.0
51,-0.4877,-0.6908,0.0,-0.4215,0.0
52,0.0,-0.296,-0.6597,-0.34,-0.3818
53,-0.5859,0.2421,0.0,-0.836,0.0
54,0.0,0.0,0.0,0.4215,0.0516
55,-0.4019,-0.9042,-0.2732,0.6486,0.4019
56,0.0,-0.6597,0.2755,-0.5574,-0.6124
57,0.0,0.0,0.0,0.0,0.0
58,0.0,0.6908,0.2846,0.3612,0.0
59,-0.8271,-0.4767,0.0,0.2263,-0.4939
60,-0.3182,0.0,0.0,0.1531,0.0
61,0.0,0.4404,0.0,0.0,0.0
62,0.0,0.296,0.5574,0.0,0.25
63,-0.4767,-0.1027,0.0,-0.7072,-0.5574
64,0.0,-0.0258,0.2263,0.2144,-0.5574
65,-0.34,-0.4588,-0.6597,-0.5574,0.0
66,0.743,0.0,0.5719,0.0,0.0
67,0.0,0.0,0.3818,-0.5106,0.6369
68,-0.4019,-0.3818,0.5106,0.0,0.0
69,0.0,-0.0258,-0.0772,0.0,0.0
70,-0.2075,0.0,-0.4767,0.4019,0.0
71,-0.4877,-0.6908,0.0,-0.4215,0.0
72,0.0,-0.296,-0.6597,-0.34,-0.3818
73,-0.5859,0.2421,0.0,-0.836,0.0
74,0.0,0.0,0.0,0.4215,0.0516
75,-0.4019,-0.9042,-0.2732,0.6486,0.4019
76,0.0,-0.6597,0.2755,-0.5574,-0.6124
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.6908,0.2846,0.3612,0.0
79,-0.8271,-0.4767,0.0,0.2263,-0.4939
80,-0.3182,0.0,0.0,0.1531,0.0
81,0.0,0.4404,0.0,0.0,0.0
82,0.0,0.296,0.5574,0.0,0.25
83,-0.4767,-0.1027,0.0,-0.7072,-0.5574
84,0.0,-0.0258,0.2263,0.2144,-0.5574
85,-0.34,-0.4588,-0.6597,-0.5574,0.0
86,0.743,0.0,0.5719,0.0,0.0
87,0.0,0.0,0.3818,-0.5106,0.6369
88,-0.4019,-0.3818,0.5106,0.0,0.0
89,0.0,-0.0258,-0.0772,0.0,0.0
90,-0.2075,0.0,-0.4767,0.4019,0.0
91,-0.4877,-0.6908,0.0,-0.4215,0.0
92,0.0,-0.296,-0.6597,-0.34,-0.3818
93,-0.5859,0.2421,0.0,-0.836,0.0
94,0.0,0.0,0.0,0.4215,0.0516
95,-0.4019,-0.9042,-0.2732,0.6486,0.4019
96,0.0,-0.6597,0.2755,-0.5574,-0.6124
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.6908,0.2846,0.3612,0.0
99,-0.8271,-0.4767,0.0,0.2263,-0.4939
