,@BBCNews,@CBSNews,@CNN,@FoxNews,@NYT
0,0.223,0.0,0.0,0.105,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.256,0.194,0.0,0.288,0.474
4,0.0,0.132,0.113,0.0,0.34
5,0.211,0.25,0.239,0.231,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.148,0.0
8,0.273,0.224,0.0,0.0,0.0
9,0.0,0.084,0.121,0.0,0.0
10,0.142,0.0,0.14,0.0,0.0
11,0.184,0.363,0.0,0.135,0.0
12,0.0,0.155,0.227,0.112,0.271
13,0.297,0.0,0.0,0.497,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.252,0.583,0.084,0.0,0.0
16,0.0,0.31,0.0,0.184,0.385
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.107,0.15,0.0,0.0
19,0.268,0.237,0.0,0.0,0.262
20,0.223,0.0,0.0,0.105,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.256,0.194,0.0,0.288,0.474
24,0.0,0.132,0.113,0.0,0.34
25,0.211,0.25,0.239,0.231,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.148,0.0
28,0.273,0.224,0.0,0.0,0.0
29,0.0,0.084,0.121,0.0,0.0
30,0.142,0.0,0.14,0.0,0.0
31,0.184,0.363,0.0,0.135,0.0
32,0.0,0.155,0.227,0.112,0.271
33,0.297,0.0,0.0,0.497,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.252,0.583,0.084,0.0,0.0
36,0.0,0.31,0.0,0.184,0.385
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.107,0.15,0.0,0.0
39,0.268,0.237,0.0,0.0,0.262
40,0.223,0.0,0.0,0.105,0.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.256,0.194,0.0,0.288,0.474
44,0.0,0.132,0.113,0.0,0.34
45,0.211,0.25,0.239,0.231,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.148,0.0
48,0.273,0.224,0.0,0.0,0.0
49,0.0,0.084,0.121,0.0,0.0
50,0.142,0.0,0.14,0.0,0.0
51,0.184,0.363,0.0,0.135,0.0
52,0.0,0.155,0.227,0.112,0.271
53,0.297,0.0,0.0,0.497,0.0
54,0.0,0.0,0.0,0.0,0.0
55,0.252,0.583,0.084,0.0,0.0
56,0.0,0.31,0.0,0.184,0.385
57,0.0,0.0,0.0,0.0,0.0
58,0.0,0.107,0.15,0.0,0.0
59,0.268,0.237,0.0,0.0,0.262
60,0.223,0.0,0.0,0.105,0.0
61,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0
63,0.256,0.194,0.0,0.288,0.474
64,0.0,0.132,0.113,0.0,0.34
65,0.211,0.25,0.239,0.231,0.0
66,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.148,0.0
68,0.273,0.224,0.0,0.0,0.0
69,0.0,0.084,0.121,0.0,0.0
70,0.142,0.0,0.14,0.0,0.0
71,0.184,0.363,0.0,0.135,0.0
72,0.0,0.155,0.227,0.112,0.271
73,0.297,0.0,0.0,0.497,0.0
74,0.0,0.0,0.0,0.0,0.0
75,0.252,0.583,0.084,0.0,0.0
76,0.0,0.31,0.0,0.184,0.385
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.107,0.15,0.0,0.0
79,0.268,0.237,0.0,0.0,0.262
80,0.223,0.0,0.0,0.105,0.0
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0
83,0.256,0.194,0.0,0.288,0.474
84,0.0,0.132,0.113,0.0,0.34
85,0.211,0.25,0.239,0.231,0.0
86,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.148,0.0
88,0.273,0.224,0.0,0.0,0.0
89,0.0,0.084,0.121,0.0,0.0
90,0.142,0.0,0.14,0.0,0.0
91,0.184,0.363,0.0,0.135,0.0
92,0.0,0.155,0.227,0.112,0.271
93,0.297,0.0,0.0,0.497,0.0
94,0.0,0.0,0.0,0.0,0.0
95,0.252,0.583,0.084,0.0,0.0
96,0.0,0.31,0.0,0.184,0.385
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.107,0.15,0.0,0.0
99,0.268,0.237,0.0,0.0,0.262
