,@BBCNews,@CBSNews,@CNN,@FoxNews,@NYT
0,0.777,1.0,1.0,0.762,1.0
1,1.0,0.791,1.0,1.0,1.0
2,1.0,0.784,0.805,1.0,0.857
3,0.744,0.631,1.0,0.712,0.526
4,1.0,0.744,0.739,0.907,0.66
5,0.789,0.75,0.761,0.769,1.0
6,0.526,1.0,0.821,1.0,1.0
7,1.0,1.0,0.874,0.852,0.588
8,0.621,0.776,0.82,1.0,1.0
9,1.0,0.916,0.769,1.0,1.0
10,0.858,1.0,0.86,0.856,1.0
11,0.816,0.637,1.0,0.865,1.0
12,1.0,0.845,0.773,0.888,0.729
13,0.703,0.859,1.0,0.503,1.0
14,1.0,1.0,1.0,0.843,0.833
15,0.748,0.417,0.916,0.71,0.787
16,1.0,0.69,0.905,0.816,0.615
17,1.0,1.0,1.0,1.0,1.0
18,1.0,0.481,0.634,0.837,1.0
19,0.732,0.763,1.0,0.909,0.738
20,0.777,1.0,1.0,0.762,1.0
21,1.0,0.791,1.0,1.0,1.0
22,1.0,0.784,0.805,1.0,0.857
23,0.744,0.631,1.0,0.712,0.526
24,1.0,0.744,0.739,0.907,0.66
25,0.789,0.75,0.761,0.769,1.0
26,0.526,1.0,0.821,1.0,1.0
27,1.0,1.0,0.874,0.852,0.588
28,0.621,0.776,0.82,1.0,1.0
29,1.0,0.916,0.769,1.0,1.0
30,0.858,1.0,0.86,0.856,1.0
31,0.816,0.637,1.0,0.865,1.0
32,1.0,0.845,0.773,0.888,0.729
33,0.703,0.859,1.0,0.503,1.0
34,1.0,1.0,1.0,0.843,0.833
35,0.748,0.417,0.916,0.71,0.787
36,1.0,0.69,0.905,0.816,0.615
37,1.0,1.0,1.0,1.0,1.0
38,1.0,0.481,0.634,0.837,1.0
39,0.732,0.763,1.0,0.909,0.738
40,0.777,1.0,1.0,0.762,1.0
41,1.0,0.791,1.0,1.0,1.0
42,1.0,0.784,0.805,1.0,0.857
43,0.744,0.631,1.0,0.712,0.526
44,1.0,0.744,0.739,0.907,0.66
45,0.789,0.75,0.761,0.769,1.0
46,0.526,1.0,0.821,1.0,1.0
47,1.0,1.0,0.874,0.852,0.588
48,0.621,0.776,0.82,1.0,1.0
49,1.0,0.916,0.769,1.0,1.0
50,0.858,1.0,0.86,0.856,1.0
51,0.816,0.637,1.0,0.865,1.0
52,1.0,0.845,0.773,0.888,0.729
53,0.703,0.859,1.0,0.503,1.0
54,1.0,1.0,1.0,0.843,0.833
55,0.748,0.417,0.916,0.71,0.787
56,1.0,0.69,0.905,0.816,0.615
57,1.0,1.0,1.0,1.0,1.0
58,1.0,0.481,0.634,0.837,1.0
59,0.732,0.763,1.0,0.909,0.738
60,0.777,1.0,1.0,0.762,1.0
61,1.0,0.791,1.0,1.0,1.0
62,1.0,0.784,0.805,1.0,0.857
63,0.744,0.631,1.0,0.712,0.526
64,1.0,0.744,0.739,0.907,0.66
65,0.789,0.75,0.761,0.769,1.0
66,0.526,1.0,0.821,1.0,1.0
67,1.0,1.0,0.874,0.852,0.588
68,0.621,0.776,0.82,1.0,1.0
69,1.0,0.916,0.769,1.0,1.0
70,0.858,1.0,0.86,0.856,1.0
71,0.816,0.637,1.0,0.865,1.0
72,1.0,0.845,0.773,0.888,0.729
73,0.703,0.859,1.0,0.503,1.0
74,1.0,1.0,1.0,0.843,0.833
75,0.748,0.417,0.916,0.71,0.787
76,1.0,0.69,0.905,0.816,0.615
77,1.0,1.0,1.0,1.0,1.0
78,1.0,0.481,0.634,0.837,1.0
79,0.732,0.763,1.0,0.909,0.738
80,0.777,1.0,1.0,0.762,1.0
81,1.0,0.791,1.0,1.0,1.0
82,1.0,0.784,0.805,1.0,0.857
83,0.744,0.631,1.0,0.712,0.526
84,1.0,0.744,0.739,0.907,0.66
85,0.789,0.75,0.761,0.769,1.0
86,0.526,1.0,0.821,1.0,1.0
87,1.0,1.0,0.874,0.852,0.588
88,0.621,0.776,0.82,1.0,1.0
89,1.0,0.916,0.769,1.0,1.0
90,0.858,1.0,0.86,0.856,1.0
91,0.816,0.637,1.0,0.865,1.0
92,1.0,0.845,0.773,0.888,0.729
93,0.703,0.859,1.0,0.503,1.0
94,1.0,1.0,1.0,0.843,0.833
95,0.748,0.417,0.916,0.71,0.787
96,1.0,0.69,0.905,0.816,0.615
97,1.0,1.0,1.0,1.0,1.0
98,1.0,0.481,0.634,0.837,1.0
99,0.732,0.763,1.0,0.909,0.738
